track_id,track_length,n_points_used,at_min_points,D_um2_s,D_stderr_um2_s,intercept_um2,intercept_stderr_um2,r2_normal,D_negative,intercept_negative,alpha,alpha_stderr,n_points_used_alpha,D_alpha_um2_s_alpha,r2_anomalous,alpha_corrected,alpha_corrected_stderr,n_points_used_alpha_corrected,D_alpha_corrected_um2_s_alpha,r2_anomalous_corrected,offset_um2
61,200,10,false,0.057763592592902396,0.0003106589036371619,-0.00038979458939993625,0.0002528951033847363,0.9997686610691625,false,true,1.0247192363258237,0.008722743607430292,10,0.05956308824554947,0.9994206583583604,1.0490805817004054,0.011678386398989412,10,0.06122178120962149,0.9990096068319658,0.0004647986829618815
62,10,3,true,0.044943866346983115,0.03555701460793388,0.009087018149289958,0.009770353342445066,0.6150413762467886,false,false,0.6291874664328486,0.3437500617129389,3,0.029269556080702135,0.7701270692996967,0.7357903355460685,0.39619774554341247,3,0.03427068600290276,0.7752267633997769,0.00247572288537145
64,32,7,false,0.12606542919792407,0.0025464648461761344,-0.0037040099776705516,0.0014596527907104744,0.9979640446206822,false,true,1.0495295404386316,0.022693855957810715,7,0.1302131967521343,0.9976677066534705,1.0614734090188336,0.021667387013702404,7,0.13233316605594023,0.9979209688537746,0.000407473869362745
65,16,3,true,0.04319661265626554,0.002776788410991483,-0.0012567028758983282,0.0007754807091250153,0.9958847589604649,false,true,1.12379116463224,0.04542820793223438,3,0.053080087951316295,0.9983685608509819,1.139372071347709,0.043604560167297475,3,0.0546974932370035,0.9985374960131146,0.00010809879833949168
66,29,7,false,0.0744703263211554,0.0014833696247440597,0.00021373808821187532,0.0008471810544089085,0.9980201077975001,false,false,1.0196389625089666,0.015555893560641338,7,0.07787735223279033,0.9988375829797,1.2848400658893098,0.0591278099733742,7,0.11487126002642305,0.9895219400867761,0.004284872939544274
68,144,10,false,0.058687400717337405,0.0010066068600192866,-0.0038352845213316263,0.000817403937397274,0.9976519946402057,false,true,1.1129933124102969,0.009863423284536616,10,0.06336702508228323,0.9993721043963223,1.123672224045983,0.008738618507731145,10,0.06415911174258469,0.9995164001243659,0.00016869063808816858
69,200,10,false,0.058475301108009865,0.00047032319158221757,-0.0024774573486607424,0.00038287147339689456,0.9994827349464253,false,true,1.1139936139681432,0.008898249804758855,10,0.06581308006594674,0.9994898332468096,1.144366311146668,0.011746463428162164,10,0.06823354554716321,0.9991578136282627,0.0004682952942131999
70,200,10,false,0.05650846951791067,0.0008323935837481291,-0.003328561092928637,0.0006776186323783597,0.9982671254868108,false,true,1.1047888944565813,0.006710123006357943,10,0.06090420409000583,0.9997049713433631,1.110806877929874,0.006089312026390649,10,0.06133075812865051,0.999759649556174,0.00009388982321069217
72,200,10,false,0.043301624155421034,0.0005883491732625974,0.001022926685302854,0.00047895174822464004,0.9985252752391252,false,false,0.9969058547382851,0.018055540651196102,10,0.04468440294365887,0.9973826337942482,1.0019897120265635,0.018756359699356503,10,0.04493730986979422,0.9972045943506634,0.00008038577840141427
74,44,10,false,0.06680791036156802,0.0013385510172119566,-0.005751174305392722,0.001062233760331389,0.9967988090653487,false,true,1.1857498593330453,0.007631485233753007,10,0.07819588307157875,0.999668733080902,1.207506582043976,0.006519868615588009,10,0.08029801564190199,0.9997668221024357,0.0003211978231952689
75,28,6,false,0.027101970167074853,0.0009527773679445921,0.0021990314598166433,0.00047614471049289435,0.9950807436766947,false,false,0.8283697973739523,0.009238511348746762,6,0.022433879020704515,0.9995027217622832,0.8813226286746472,0.014213728177163036,6,0.024002997608184508,0.9989606674006389,0.0006089755775219569
76,125,10,false,0.044497054132366806,0.0003076200750138978,0.000787419824614822,0.00024945540781928105,0.9996177999009899,false,false,0.9695951577720595,0.0048405694105722345,10,0.043484365748344404,0.9998006503717781,1.127670633092039,0.023942706371844185,10,0.05205624702444336,0.9964065756235184,0.002276907235878937
78,82,10,false,0.02780453588414961,0.0011491254812981632,0.004816188456086609,0.0009265645757679293,0.9865197060799897,false,false,0.8027072378682865,0.030457379216662105,10,0.02531059169192551,0.9886135783676838,0.8418916037131167,0.03578688176776869,10,0.02626930988472182,0.9857507352043197,0.0006587263192131322
79,200,10,false,0.06613485281083337,0.0016041618900898506,-0.005062628757553634,0.0013058846287372194,0.9953152518033556,false,true,1.1307210987645209,0.011081850661646341,10,0.07208698739400737,0.9992321613208786,1.1337798467029976,0.010849858776900383,10,0.0723465603860473,0.9992679131026991,0.0000519145247720844
82,181,10,false,0.05566901324119627,0.0008590246211804099,0.0013090151546391266,0.0006988333737427148,0.9980987130849203,false,false,0.9879158604836117,0.010012601122793324,10,0.056546458955220556,0.9991789168051812,1.092382718091544,0.023177255502172197,10,0.06367500857483133,0.9964115811550017,0.0019362240186167462
83,200,10,false,0.035692299748869984,0.0015685158828132543,0.0028398083775191757,0.001276866626710158,0.9847854059491766,false,false,0.9546911383402965,0.02774407862170751,10,0.037132297768341115,0.9932891043037151,0.9581504078055141,0.028137810365796573,10,0.03727098856066981,0.9931480027533751,0.00005247061411254888
85,42,10,false,0.10993936672294792,0.004770154076813496,-0.0161928272037632,0.0037786807508115605,0.9851626521555469,false,true,1.3072414037633553,0.03517910247155609,10,0.1379223128028372,0.9942397803621217,1.311523367039014,0.03470172664823291,10,0.13865879363466196,0.994430521447383,0.00008091787146156232
87,143,10,false,0.054291117133490926,0.0010161090950922189,-0.00035457148973950327,0.0008250681715719617,0.9972055406847773,false,true,1.0708761525611195,0.018549125810460056,10,0.0603704335163145,0.9976054869119628,1.1001391183343532,0.0223702858447031,10,0.062482405696758274,0.996703116089033,0.0004677769096887895
88,200,10,false,0.058106272488957014,0.0004966074217244933,-0.0009940356500258364,0.00040426842362556925,0.9994159948708844,false,true,1.078542619915649,0.014296528042603023,10,0.06436337210290118,0.9985963252470517,1.085826017580756,0.015241998646464442,10,0.06491260881127549,0.9984261284859002,0.00012544285329764331
90,74,10,false,0.07122780007452907,0.0013037566503863419,-0.00482291575264098,0.0010492935963914288,0.9973268611697557,false,true,1.1425662176399791,0.010532539063243765,10,0.08044635776297142,0.9993206427031139,1.1564336650124916,0.011448200300172634,10,0.08179716891526488,0.999216601717915,0.00024190539529657685
91,200,10,false,0.04272683885920167,0.001609531349597148,0.003666512019040069,0.0013102556929536957,0.9887750391227431,false,false,0.9384071132266472,0.030476480679514355,10,0.0436772792648792,0.9916326515992855,0.9414461954796087,0.030888671671892406,10,0.04381996197496548,0.9914616615125119,0.000056571618844035834
93,166,10,false,0.06104468614916246,0.0006486871806540051,-0.0014507025983739026,0.0005273839194517368,0.999097446952984,false,true,1.0328015797739791,0.006594259473765393,10,0.062052379855819906,0.9996739781922327,1.112481408414711,0.011219842747275593,10,0.06798787474740303,0.9991869359657419,0.0014632766191645882
94,200,10,false,0.05712769717474561,0.0007081472449858531,-0.001519452146832701,0.000576474611336041,0.9987722493917085,false,true,1.0825116439997184,0.01568746638661908,10,0.06275587650108218,0.9983227360507955,1.0853139604255317,0.016013086828782646,10,0.06296145040166701,0.9982615041867297,0.00004672794819906732
96,200,10,false,0.04290291575859965,0.00024497281540147473,0.0003876612607000947,0.0001994226618071247,0.9997392412468201,false,false,0.9721907970255781,0.008227283460463584,10,0.04154436873418227,0.9994274002568919,0.9869481791463914,0.007938437825676978,10,0.04220065834406413,0.9994826950176006,0.0002459498268090643
97,200,10,false,0.05939973247133382,0.0006358113725478399,0.0003787330288434785,0.0005175888439414504,0.9990842441481529,false,false,1.028795335493568,0.014298405242920476,10,0.06292300680429576,0.9984571040873669,1.0343966136692069,0.015044972459682398,10,0.06332261772923056,0.9983104765279678,0.00011241715888533665
98,90,10,false,0.09347664840142667,0.0012528233675966258,-0.007527881689288201,0.001011697528508399,0.9985650400833286,false,true,1.2064800070112487,0.011675132653469821,10,0.11447892127857306,0.9992514028968157,1.2115743677128405,0.01240958033851652,10,0.11520615435714418,0.9991614292997401,0.00010064421254609656
100,11,3,true,0.04157713102370623,0.004309403602443019,-0.000016691643569005132,0.0011891871923026336,0.9893711919221069,false,true,1.0459299393931818,0.09526373494790992,3,0.046913312006950966,0.991772609145844,1.1024159944360117,0.10704506860147726,3,0.052264867337013875,0.9906595723925862,0.00043343153246759933
