particle,track_length,n_disp,normal_converged,D_median_um2_s,D_lo_um2_s,D_hi_um2_s,log10_D,log10_D_stderr,sigma_normal_median_um,sigma_normal_lo_um,sigma_normal_hi_um,log10_sigma_normal,log10_sigma_normal_stderr,anomalous_converged,D_alpha_median_um2_s_alpha,D_alpha_lo_um2_s_alpha,D_alpha_hi_um2_s_alpha,log10_D_alpha,log10_D_alpha_stderr,sigma_anom_median_um,sigma_anom_lo_um,sigma_anom_hi_um,log10_sigma_anom,log10_sigma_anom_stderr,alpha,alpha_stderr
60,98,97,true,0.042180630675679134,0.038078137138457,0.046725122022871636,-1.3748869310706986,0.04443737528509144,0.0035259140282836395,0.003037024639675148,0.0040935030860260475,-2.452728281230458,0.06482340336377468,true,0.06456639806517628,0.04518081320567699,0.09226969289226927,-1.1899934406973158,0.15505251581794588,0.003535325570514061,0.0030439037540889863,0.004106084784297416,-2.4515705855539225,0.06499849819014351,1.1250959760639443,0.09592564822800087
61,200,199,true,0.05053635844633966,0.046851347212869425,0.05451120782958826,-1.29639605572119,0.03288186071556877,0.010184655825864615,0.008849052191714262,0.011721844559628904,-1.9920536427024405,0.06104960071860677,true,0.07534111127138272,0.05875801730676102,0.09660440068922695,-1.1229679782995932,0.10796488889227254,0.010520561764392604,0.009096843693218623,0.012167101422321825,-1.9779610696250476,0.06314819787763938,1.1208151221905407,0.06843833908756869
62,10,9,true,0.07897850946372117,0.05263634149786453,0.11850377096144031,-1.1024910668237007,0.17622323726845285,0.02469656647748985,0.019810661220079052,0.03078748301237376,-1.6073634217820987,0.0957376069984221,true,0.07654677401628246,0.025744395842101735,0.22759938311379943,-1.1160731074666896,0.4732441880779661,0.024684091056910384,0.019789929006771057,0.030788607230342855,-1.6075828601898832,0.09597290356344168,0.9901516271817555,0.3193765554528166
64,32,31,true,0.11205842872427133,0.09320395957274014,0.13472701702498527,-0.9505554714736864,0.08001016569954247,0.010084552087480143,0.008681569394522694,0.011714263422148385,-1.9963433865197024,0.06505837243147806,true,0.12681480130607412,0.07148780929893774,0.2249613463891392,-0.8968300544163833,0.24893795700764182,0.010093505409381417,0.008687737286061878,0.011726741738917527,-1.9959579798915155,0.06513534056844608,1.03682333931606,0.15945478599231527
65,16,15,true,0.0343952459593717,0.026413043913433493,0.04478972391379672,-1.4635015805764682,0.11467996601548174,0.00519785285589579,0.0043559573238481425,0.006202465337212269,-2.2841760189437035,0.07674036481830063,true,0.039251503785023116,0.018630379691511222,0.08269721685209037,-1.4061437001154928,0.323634593874587,0.005202187898831797,0.0043587817644715485,0.006208789610744146,-2.2838139654903835,0.07682090920801542,1.0394238332443662,0.20500651012194995
66,29,28,true,0.054430617019818106,0.04238381337344427,0.06990149855214298,-1.264156742537907,0.10864322881220663,0.030057504520107834,0.0262707030342353,0.03439015609132902,-1.522047078909954,0.058481225928508004,true,0.0894824004706571,0.0446757112698863,0.17922714079738106,-1.048262373958768,0.3016661505238122,0.030538162081133195,0.026668582144278176,0.0349692135205489,-1.5151571042161092,0.05884296908106733,1.1693918549770086,0.20813248428775294
68,144,143,true,0.04329391616885592,0.03972116956053074,0.047188015810551556,-1.3635731281253958,0.03740484438240815,0.00642134729210324,0.005538083487252619,0.007445482022925802,-2.1923738410685063,0.06426666043276796,true,0.060439489741980136,0.046222876344573956,0.07902865873252249,-1.2186792108316522,0.11646382202549775,0.0065041320297486655,0.005597554810149986,0.007557538049237783,-2.186810651422397,0.06519099378001425,1.0994924843687655,0.0726900297101922
69,200,199,true,0.041794030795711826,0.03871637351787789,0.04511633842323386,-1.3788857416126021,0.0332195873061478,0.010061060498194782,0.008767598723013961,0.011545343433958874,-1.9973562395345823,0.05976309573579377,true,0.07166861526769737,0.05517760023249009,0.0930883255659382,-1.1446709865923774,0.11356620505805354,0.010708096925694386,0.009247983856955612,0.012398739178575095,-1.9702877063958524,0.06366523062038584,1.1649664236986785,0.07223781768917602
70,200,199,true,0.0427742485065285,0.039800302232985155,0.045970413103594836,-1.3688176117654665,0.03129601823071162,0.004797913260557869,0.004136230729167628,0.00556544669848956,-2.318947607723251,0.06444763549612395,true,0.056270931812810294,0.044189786475514,0.0716549687072258,-1.2497158931308656,0.10496220380718191,0.0048356706440715515,0.004163632254873663,0.005616180571798577,-2.3155432864575256,0.06498434926784148,1.0809452226650824,0.06605328056730951
72,200,199,true,0.041646538261216205,0.03876094207500887,0.04474695547354155,-1.38042109213314,0.031184583941025662,0.004409418357420547,0.0038047571539926604,0.005110173780829645,-2.3556186941653503,0.06405436353138932,true,0.06117982196915688,0.04679563066691839,0.07998547220827988,-1.2133917911291312,0.11640290421198128,0.004438378606317599,0.003826075325180833,0.005148671413594478,-2.3527756539694185,0.06447083015938679,1.1127896491812912,0.07281657794130243
