particle,track_length,n_disp,D_weak,D_stderr_weak,sigma_normal_weak,sigma_stderr_normal_weak,D_bayes,D_stderr_bayes,sigma_normal_bayes,sigma_stderr_normal_bayes,D_alpha_weak,D_alpha_stderr_weak,sigma_weak,sigma_stderr_weak,alpha_weak,alpha_stderr_weak,D_alpha_bayes,D_alpha_stderr_bayes,sigma_bayes,sigma_stderr_bayes,alpha_bayes,alpha_stderr_bayes,true_D_um2_s_alpha
218,200,199,0.06493653614264988,0.006110199164125061,0.026179201791523526,0.0032526346628326593,0.06550372979096356,0.006092809001433316,0.025593923107533032,0.002606489555356941,0.06407067615074308,0.005793435837433112,0.0287491834469493,0.0029480307188781644,1.031716335097281,0.026181260342448387,0.05923790677520682,0.0050013096520579,0.02546151890292699,0.0025045933838797347,0.9861710870812579,0.0242637710080712,0.07
194,200,199,0.06941252160139282,0.007209393958732761,0.03089825770134692,0.003517808148887136,0.07509006282893742,0.007334650082805774,0.026928489111191986,0.0027479278300673437,0.07160819429267486,0.008130098673551876,0.03444752421444245,0.0030947467542076883,1.031556411101423,0.032024975746832884,0.06419851746716816,0.006259238925076949,0.026138166673948554,0.002564615750239767,0.9417594250534529,0.02651322629993552,0.07
357,200,199,0.14662356627682907,0.011602088820705875,0.022576263301913292,0.004158521018954659,0.14566483848721706,0.011581498146870192,0.023991049342132777,0.002842290907184613,0.16221837267151046,0.012493732797960608,0.026493857200661712,0.004121812035972278,1.0480927361262546,0.01985217018229457,0.15651574355424575,0.011737539266930622,0.024482941896829546,0.0028512885440342625,1.029733766189994,0.0191408067450054,0.15
346,200,199,0.15322351811420737,0.0114569145454263,0.0203076521907549,0.004670672659712358,0.1503171146223439,0.01138568125828536,0.023520173947675423,0.0029895647123279363,0.23575596050923087,0.021106804241315114,0.033832282355041265,0.0042927166119174735,1.176046031686305,0.026727797958231436,0.2050802731162299,0.016485370701877944,0.025130173613941008,0.0030858280861220857,1.1016258830531322,0.023746422747750184,0.15
16,200,199,0.02243199767311493,0.002230583341777812,0.02258479173393896,0.0019265152387728211,0.021700758829819748,0.002209940691390546,0.023491925344297473,0.0016957903201817795,0.02755466427051887,0.003185752825774794,0.025663936114350857,0.0016551697149182303,1.1118009426754925,0.041491635659351433,0.02540023589917994,0.0028213792082920977,0.024927629542430368,0.001549134225661804,1.0731130782505094,0.03971999908345847,0.02
352,200,199,0.1493222591424036,0.012181785528143613,0.018815104719886736,0.0056055280654982225,0.14508206176500468,0.012230553392616389,0.023884168842415898,0.003168525509954452,0.17653350236228416,0.015260611598320109,0.02584952716611947,0.005308763602844095,1.0711537563123674,0.02412786097440045,0.17190730706260865,0.014582153316534008,0.024725448441682216,0.003254408415501727,1.0559157558009102,0.023670719772631466,0.15
31,200,199,0.024857440286506653,0.002556322615878983,0.023199515468747493,0.0020737899637257497,0.02411491743648289,0.0025159275353607586,0.023983861447848344,0.0017849379153932633,0.09476033269745493,0.015824658082628992,0.030902137131711374,0.0015621306403635505,1.5206917313238886,0.04240629004009788,0.05206989936838452,0.007868143646333488,0.028376263134130754,0.0014573389435296458,1.3097054601339726,0.04394304508583735,0.02
283,200,199,0.10302688284814096,0.007731704433119553,0.020979020081543936,0.005073983634657643,0.09800258229559801,0.007734011553441868,0.025152307708451477,0.002859656832866998,0.15354799361229637,0.014084889614375831,0.03750342902258201,0.0030430844877054955,1.191864829070714,0.02879519981777956,0.10833392011030812,0.00818169345162928,0.02604605058259213,0.002750978645158707,1.0248619126835554,0.02327329974976866,0.1
95,200,199,0.03386815530243946,0.0032291321170575104,0.02461544185624814,0.0023222912499342146,0.033399386621229085,0.0032234898393489527,0.02496335255358126,0.00205231225971194,0.04038134691252949,0.004239358846789488,0.028296303082684122,0.002138083113327152,1.0936532186847943,0.033279237550570495,0.038120673820489004,0.003823911687787295,0.026593399055378764,0.0019834892386458077,1.0557969126779785,0.03135525819756024,0.03
258,200,199,0.09495859226077197,0.008551022903646947,0.029760848464105726,0.0038068205699086886,0.10012317507967199,0.008636445385948446,0.026061177471902286,0.002802531802784187,0.1007699895665406,0.010322631111201533,0.03580668915453478,0.003142132709389199,1.037322692129098,0.027763078511221284,0.08890369658340522,0.007869784048600663,0.02607266472040593,0.002547784949259401,0.9491463216135985,0.023430383666114662,0.1
56,200,199,0.01916017291723832,0.002233309151724575,0.024783968513809925,0.0019423254291908772,0.019140888178227008,0.002233262609609949,0.02486362450670165,0.0018061222005657084,0.02967852037744874,0.004210864836565666,0.02961812653900589,0.001697193838954874,1.2594983798069554,0.04244914940858768,0.026743857609125215,0.003555043153929644,0.027907303717484504,0.0016697004949847091,1.1862653184713687,0.03955554734452249,0.02
271,200,199,0.0811671489087123,0.0068472449319369605,0.028894069742392284,0.003855438877146254,0.08489682503163024,0.00700963488564979,0.026152785878769604,0.002858294263582582,0.09057770862871725,0.008319102947483607,0.033916472793120205,0.003046325332528625,1.083019970203379,0.03081184091368261,0.06556001767607103,0.00508061785097208,0.02469019485258109,0.002748788648028855,0.9264768777082772,0.02485936617229828,0.1
69,200,199,0.033385545274483515,0.0035765562177253914,0.027924402730875268,0.0023451852729901752,0.03468991571520913,0.0036349982054766656,0.026678481977090187,0.002093475774800629,0.03656388428468425,0.004328955304985456,0.030233851851163344,0.002090982690749737,1.0322786713616439,0.036647817589816445,0.03285921281266096,0.00352887552884254,0.02665023999551014,0.001948531645910261,0.9563463414941581,0.03215351219785506,0.03
88,200,199,0.028437331283701697,0.0034075700467970146,0.0299363536206732,0.0025066280333944646,0.03015821740675509,0.003499595112181276,0.028154010732971937,0.0021942278385498736,0.02775224008763517,0.0035014999838964417,0.029801208636400223,0.002360867848744532,0.9696020087197454,0.04104110967033697,0.02367294561040404,0.0026331848870195015,0.025907500839256272,0.0021515330913120558,0.8740988954856793,0.03466553064917266,0.03
25,200,199,0.01580166151109145,0.00227160622775153,0.027717873553389706,0.0018629918112058,0.016258059532654155,0.0023221667871580077,0.02707331730904195,0.0017928517352492224,0.021921612121924488,0.0037339493411224518,0.030915345411358357,0.0017027053166411982,1.1838428930302156,0.05639448903011801,0.020493683480347566,0.003333615195767718,0.029357174021058068,0.0016878436783250225,1.1244020821944627,0.053540247335744584,0.02
180,200,199,0.07246945219789312,0.00595230115075291,0.02522730705549199,0.003602747795675978,0.07195439591850379,0.0059354564810622165,0.02546826142952636,0.002614026840392013,0.11349322716987228,0.012218384625227618,0.0368453994730426,0.002537610782507308,1.2253086453999298,0.03460796431455693,0.08575023624125369,0.007678714564822206,0.027856913918871497,0.0022435915609520622,1.067425677868635,0.028085915246049198,0.07
126,200,199,0.051261046135230255,0.0047606894824342265,0.02249132655805977,0.002871318721420317,0.049295426234253786,0.004707891285550981,0.024209375484942963,0.0023544405666729423,0.046425448774508715,0.004314467426291331,0.023721795071052577,0.0026498841798861267,1.0038684170734165,0.027675293953495494,0.046510521645969374,0.004345878994955397,0.024430862065226093,0.002293378503233627,1.0086088868971024,0.027831797913792422,0.05
185,200,199,0.07078626885624383,0.006370327845366612,0.02698944782205886,0.0036299568636417763,0.0726868824578624,0.006481837821601902,0.02566254561375865,0.002702538501098294,0.08095930713139833,0.008344440003663169,0.03365230684377459,0.002549545904550938,1.0458308835665868,0.03048356616582859,0.06095158942945516,0.005352298053185087,0.025264754897541368,0.0022477991898028522,0.9048625338821424,0.025070832014591427,0.07
101,200,199,0.03119664448685575,0.0032121132200628316,0.02447592747163236,0.002249661126834687,0.030956693695730897,0.003191508014194787,0.02472949055058983,0.0019160079646718068,0.047436053172155504,0.005820515606464457,0.03092556048434361,0.0018766930363559083,1.2177310733011917,0.040989104222780126,0.04164321488483418,0.00469000064998535,0.028079313771872144,0.0017565498324687567,1.1342636036247336,0.03720018394026914,0.03
117,200,199,0.02652248529708397,0.0029688959901412477,0.025063452215040704,0.002097193156242433,0.02639563027902409,0.00297317079144885,0.02516427119463294,0.0018826050294964841,0.036036591843526714,0.005046328108359473,0.030914320215130266,0.0018209417871298452,1.2253578966043124,0.046938026040916125,0.03406257081437554,0.004430602433343849,0.028671776694702594,0.0017552754412628636,1.1644722788077086,0.04321529141341296,0.03
145,200,199,0.053453294714401405,0.004654042325303486,0.024099955984426415,0.002761661522054251,0.053055507590473124,0.004629082253067095,0.024482919755615094,0.0023130538335803287,0.058752223018342827,0.005520921303672557,0.02774126666126728,0.0025405364077001405,1.0559877119866083,0.02993520538328831,0.05523651600112295,0.004910308051135213,0.025344887888318606,0.002225341307340454,1.017251370769942,0.028013396401919965,0.05
217,200,199,0.07529941001723595,0.007042474336608394,0.0299504236180544,0.0035412867484146925,0.08005436138521303,0.007117469987890243,0.02664627504484564,0.002776151000198856,0.07458683023340895,0.007038557379752806,0.03197274724704116,0.0031872737166430774,1.0016283780410828,0.029459924655168,0.0666587664020707,0.005631335074525779,0.025697291836919912,0.0026122840666800255,0.9292821237453139,0.025898264362777146,0.07
83,200,199,0.028165653959465776,0.0031103674692457457,0.026514564359394595,0.0021526874771334806,0.028637873690250414,0.003141186816574191,0.025992545840942502,0.001886078706986108,0.03617360164307808,0.004342895938674648,0.029966085737466876,0.0018942725681191323,1.1425616290329934,0.039781333281460496,0.0321814928246376,0.003584591336998365,0.027402377797221763,0.0017673265394302466,1.0660201630192618,0.03655218911535185,0.03
17,200,199,0.024423586315813074,0.0026914159237335644,0.026277402249570037,0.0021740676195783574,0.024417685222170867,0.002715747577764575,0.025982420303949105,0.0018741251189526437,0.0702123494780234,0.011739253829711634,0.03343701864256052,0.0016631387949450072,1.4308485626148468,0.04677063009695903,0.04241400331702163,0.0062146022879336,0.029863022861412125,0.001526517254149394,1.2090546632299426,0.044659234631653444,0.02
21,200,199,0.01630417526564743,0.0021733668064621483,0.02786235968857479,0.0018832832171247049,0.016818672646499708,0.0022121347820992024,0.02716181097041529,0.0017715893435906772,0.02069506635779232,0.0032008161980673078,0.030641926931022856,0.0017550142162715346,1.1446167511538623,0.05769352283945561,0.018928006141014576,0.0027158403410785705,0.028579588306831008,0.001695899066480492,1.065211899612478,0.0526211100991798,0.02
41,200,199,0.01895121906715932,0.002226385538231051,0.025532797101865616,0.0019091943124131452,0.019075669366647348,0.0022293388076286124,0.025398181617891258,0.0017734953624887473,0.014790837868517918,0.001601745632135782,0.023375937607252012,0.0017288198780927473,0.8676461272752808,0.03384861644229409,0.014763912996311405,0.0015989166910302752,0.023916747754609155,0.0016818308028084244,0.8768830998260553,0.03415561609333878,0.02
86,200,199,0.027319661183147066,0.002805150033806365,0.02584738343640808,0.002229094737230713,0.02743704842340887,0.0028068498854080335,0.025637973330308532,0.00195503065909345,0.02456963979337016,0.0025482241221874598,0.02555173735241289,0.0019015645515781023,0.9606408564705609,0.036611202595247805,0.023701758372272667,0.0023796334561603048,0.024902269445001554,0.0017747372673976615,0.9413482661900542,0.03526612257308226,0.03
353,200,199,0.13504558180636908,0.010616213244173521,0.031653799157102584,0.004095614060301097,0.1431948960228119,0.010694155079404133,0.02606867452239666,0.002802094563736337,0.134210892230847,0.011494553193092928,0.0346006151548816,0.0038020538595890836,1.0093108383324079,0.03137731445531128,0.12328517066648209,0.009607975980222339,0.025847416667330855,0.0026721617847381644,0.9537545196174496,0.027952262659608818,0.15
164,200,199,0.04511542549733727,0.004078517282354227,0.022389644206278134,0.0025009069562983294,0.043584666944823464,0.0040430979967465246,0.023890380899623545,0.002141415098276719,0.05740916375640658,0.006214293558117829,0.028509511663026708,0.002202786910627398,1.1400016064312153,0.03388768066940362,0.05346677738712459,0.005448297324687077,0.026222629209023678,0.0020303688671639494,1.0954581991280232,0.03153520219694883,0.05
4,200,199,0.02506871392761867,0.0025513232769044276,0.02154432296646826,0.002057482903415451,0.02371825623425703,0.0025019615956147403,0.02310941658280824,0.0017804185625811889,0.026276728796649985,0.002962986770566072,0.023665284270372695,0.001635872423555883,1.035464077282586,0.034998230966544086,0.025427322530835697,0.002831230135554058,0.023923186071600037,0.0015803226460712663,1.0283323132893334,0.034727167318411134,0.02
26,200,199,0.018671629228916055,0.0023645161336577503,0.0264069518520465,0.0018950400109856002,0.018907460759209644,0.0023806804686740714,0.0260711424207647,0.0017072034032000038,0.014596025455630726,0.0016910182507417285,0.0234560536552474,0.0020892638148272413,0.8681641121518587,0.03650448529892014,0.014939033081522909,0.0017743186706735171,0.024489278634170532,0.001831498842399977,0.8921256731876048,0.03769136382165844,0.02
127,200,199,0.047533003940564235,0.004277528148459879,0.02392645390985814,0.002970989860982501,0.04658557658823453,0.004271842921884882,0.024763152617607725,0.0023011910564660412,0.06937006115789301,0.008137299526007068,0.032698707474452644,0.002285399515387202,1.2064010414243902,0.03975597158894517,0.05713393130027693,0.005798815518134791,0.027355861902802654,0.0021583177271496563,1.0848985456292242,0.033362365451090836,0.05
40,200,199,0.021744566450238683,0.0022816022676961055,0.023612342318893444,0.0018924402987852019,0.021248113094925757,0.0022667258867635296,0.024141886517333302,0.0016634540620372503,0.06676953430456954,0.009924106975752165,0.030258156492053122,0.0016422644684054351,1.457823082757418,0.04688289586645278,0.060111825169292414,0.008687620461856504,0.029069762359472704,0.0015131035656354257,1.4055919227576097,0.04709901308914455,0.02
329,200,199,0.15495438874214038,0.0142382719110722,0.02145568395359753,0.005933558361134008,0.15121585599200885,0.014149675997154637,0.024810345728192757,0.003270280658406165,0.17510388987043143,0.017186709234110434,0.03242696441843002,0.004612481508934988,1.0840693399009853,0.026830441291818774,0.15461276216474457,0.013952147390801695,0.02512019872295844,0.0032637007603514567,1.0212874165760846,0.0240720392194938,0.15
51,200,199,0.015381025593440012,0.00203147328976543,0.02851013725478045,0.001751281941578758,0.01604270346406367,0.002095787946991566,0.027624961848740977,0.0016104594183261375,0.09979278259678952,0.022187999404142726,0.035451299310437265,0.001538048082594657,1.7578493328957772,0.04060758362293815,0.08390511852848026,0.018080116683418752,0.03403210686455171,0.0014115408726015737,1.6944062052424147,0.04657252177755089,0.02
262,200,199,0.0965355648122371,0.009099106210170793,0.03135121059211534,0.003519092140275447,0.10398572895812526,0.009173683618701599,0.026585355343594796,0.002615757426707657,0.11414098301957414,0.012878157270050747,0.037753865557569904,0.003139278812958994,1.0911383927860852,0.031637663066003574,0.09623547220493939,0.009166288955996353,0.026803451268139888,0.002450259989216016,0.975108861985734,0.02601517783749091,0.1
242,200,199,0.09783964333137192,0.009076042730163096,0.029879122261420053,0.0034656336646983997,0.10333858656838373,0.009054204293333971,0.025994819111749095,0.0024786964724341585,0.09291631196825029,0.008769054327296341,0.032045965613395094,0.0032616908847427108,0.9918672484416805,0.027945135226652762,0.08730353512935268,0.0074224920393054505,0.02567195851581525,0.002378622307674735,0.9464429351424603,0.024924539377121857,0.1
