particle,track_length,n_disp,D_alpha,D_alpha_stderr,sigma,sigma_stderr,alpha,alpha_stderr,true_D_um2_s_alpha,true_alpha
141,200,199,0.05539174070120243,0.005192228623497552,0.02991858899329364,0.002732473273923246,0.9616368562607566,0.02891225425624172,0.05,0.9
67,200,199,0.05619723816405679,0.007133796936560955,0.053442121107520675,0.003385311723346461,0.9041796340140967,0.04539848722730405,0.05,0.7
278,200,199,0.0516198924114104,0.00609291291974769,0.02677401183598936,0.001772491204193219,1.287103551109158,0.038994419892035004,0.05,1.2
246,200,199,0.08992169934018804,0.011720070638068528,0.027504831829680696,0.0015745383521135383,1.4949245052821505,0.03630850722398904,0.05,1.2
268,200,199,0.08408577561934336,0.012642794637356077,0.028909918821441453,0.0017416044305761137,1.4747882906230367,0.03981392739699274,0.05,1.2
215,200,199,0.09943907795385294,0.013312324257103235,0.036522349821191874,0.0023341255651678147,1.3499553864597418,0.040634238955497115,0.05,1.0
219,200,199,0.041445823605271166,0.003957222206788621,0.029013973032146385,0.0025954191910626204,1.0025718695015773,0.032313105432882294,0.05,1.0
165,200,199,0.08392587131207252,0.009007183399960005,0.0375112292489345,0.002767579404372774,1.1157861102603206,0.03449746067927717,0.05,0.9
5,200,199,0.038926756077251795,0.0034707645569596497,0.0497606510773787,0.0065346556612141116,0.46508915203829976,0.02873986725944888,0.05,0.5
11,200,199,0.06204376998073934,0.005446364546839028,0.04585015719949127,0.005279749456263246,0.6429131843562327,0.028816172860344547,0.05,0.5
336,200,199,0.062327254576234184,0.009816955198209222,0.027693780853409233,0.0013703706764835264,1.639265935219232,0.03725072618240055,0.05,1.5
176,200,199,0.03658787266134546,0.0032269265590255704,0.030134706447561926,0.003145414925773908,0.8242270449169803,0.027325371010530064,0.05,0.9
398,200,199,0.05891770053536607,0.011004255180071126,0.023607072140802647,0.0011087300235240703,1.8176120543328163,0.027498728169013886,0.05,1.8
116,200,199,0.03680614902795038,0.003656535296774819,0.04051104821030124,0.003647388730530967,0.6986099936397708,0.03040480656554645,0.05,0.7
287,200,199,0.025249260723823032,0.0023862910345504185,0.020634138944776642,0.0023066557450085717,0.9718460514832385,0.0319595337063322,0.05,1.2
94,200,199,0.07218912856853135,0.00713349263682727,0.04634771886950714,0.00387850944627759,0.8988005369530941,0.03885398483018415,0.05,0.7
280,200,199,0.05819083595485618,0.006149308928426925,0.01908113383891078,0.0015919653928346926,1.2708902725675213,0.03018753796404905,0.05,1.2
72,200,199,0.05165433315155091,0.004600847297095811,0.02977693622949457,0.0038968458138042734,0.7144357205043281,0.02631322422979182,0.05,0.7
147,200,199,0.07354913427007814,0.007452275651131171,0.03280886198196076,0.0026659636538907596,1.035160644122037,0.03122789263451764,0.05,0.9
193,200,199,0.04803069666276419,0.00481495131481454,0.030603499315354752,0.0023712201827558906,1.0152626536109048,0.03159464017799446,0.05,1.0
