particle,track_length,n_disp,log_bf10,D_mean_median_um2_s,D_mean_lo_um2_s,D_mean_hi_um2_s,eps_median,eps_lo,eps_hi,psi_median_rad,psi_lo_rad,psi_hi_rad,D_par_median_um2_s,D_par_lo_um2_s,D_par_hi_um2_s,D_perp_median_um2_s,D_perp_lo_um2_s,D_perp_hi_um2_s,x_mean_um,y_mean_um
888,6,5,-0.030517067203852832,0.028676766621247823,6.164058542973477e-7,0.07469529790958646,0.1976078883761171,0.00001746946939895549,0.5140826716216127,1.8396783867566722,0.35030889194771925,3.0847565218622237,0.035421878563005195,6.800879693947399e-7,0.09417859975425319,0.02143105155999222,4.74748078772449e-7,0.055891325747393104,22.832350822019606,44.24174243461264
894,6,5,0.05003077082420759,0.01600014005244549,9.728953053464059e-8,0.03878542076859085,0.20916381668967085,0.00013308648672701365,0.5370144573322432,1.0912604960607566,0.006069895795006007,2.8423007291576052,0.020019338897108552,1.2563591295006717e-7,0.049740472323950215,0.01162678143733111,6.894314811921402e-8,0.02983367770120054,36.07025967800132,22.098140826737858
926,6,5,0.013695517040591909,0.008532037773624896,4.6166934985386705e-9,0.040578452407677816,0.20893778907587626,0.00007188341695340684,0.5296283386744596,1.2602731646759502,0.027908869155471857,2.752880592149775,0.01059823678290054,6.741228254404036e-9,0.05044305413179258,0.0060371480674609014,2.4921587426733054e-9,0.03069262738189316,45.99676891184001,43.27466236471542
928,7,6,-0.0011212524592387751,0.15217301936291583,1.2213530454315222e-7,0.33394692147001676,0.20042854818186973,0.00004929792184028086,0.5362958622452529,1.8974015465082101,0.4629001576260539,3.1258210322642643,0.18325987025009643,1.827247621171776e-7,0.4266105787726458,0.11123844216288195,6.154584696912682e-8,0.2516862052789636,26.585512620340157,42.627747643641726
960,5,4,-0.05337541109548738,0.03797501775973153,2.8264884025741058e-8,0.10277894889229931,0.19856752835845864,0.00009785226279454276,0.4943905355967333,1.7803292634880976,0.2628655948825864,3.047416848147213,0.046056898027482,4.268783625694532e-8,0.1286630720014526,0.02865733139281846,1.3841931794536794e-8,0.07834371969307302,44.14335205740368,25.606747322153087
1005,7,6,0.16904441107983814,0.03258639402746635,0.011306693536817996,0.06548959073102661,0.25900636032335345,0.000013850078628384875,0.6122444903138908,1.827170256842673,0.7517950799236265,3.0345285307147334,0.041594091657161165,0.014711211165916345,0.08774475275755672,0.022915643275758707,0.002938369872346465,0.048802991519830946,36.065268980950634,22.273045274292176
1098,7,6,0.13608888328918667,0.027364347949001916,5.6628520819122645e-8,0.06956852724318446,0.24785820479140463,0.0003374760667735745,0.6171671304964187,1.7676259423088838,0.6286669796421164,3.1175809495878046,0.03496569408591595,6.841913020302347e-8,0.0906450072577432,0.017324514071681642,4.483791143522182e-8,0.05124057655057629,48.97157338320229,10.608221322562846
1115,5,4,-0.0419613928906486,0.045589933435753856,3.021224953041075e-9,0.16314532627992948,0.19362401471996948,0.0001355682808985553,0.5113218243652463,1.4779479093906795,0.10135441618411928,2.9786217676052775,0.05463602427932096,3.6491862891666946e-9,0.20363333251883667,0.03358248994523602,2.3932636169154547e-9,0.12396981531247792,6.1043424221909826,50.56446289211202
1131,5,4,0.00487086073822951,0.05354874208157563,1.0633859375172304e-8,0.14042374875313166,0.20784021877943143,0.00005715841480993036,0.5331976251129704,1.7431235963710794,0.46555327854953354,3.070970202990264,0.06489015689225025,1.593722709552326e-8,0.17745131227474367,0.03785628936576285,5.330491654821351e-9,0.10544197969438936,49.58728718631521,28.889464828363714
1165,6,5,0.12759364101579962,0.0269773236337904,7.774446330040898e-9,0.09490846901980149,0.2301465841506194,0.0003001291596785175,0.5984223708177948,1.6070138946189951,0.007184523916759308,2.9602628127385104,0.03380118409775898,9.818648791370053e-9,0.12497051304610106,0.016668381840483568,5.013023481816696e-9,0.06943235329055275,8.891968090487794,25.654309899007398
