track_length,true_eps,fitted_eps_median
10,0.2,0.32593041963271374
10,0.2,0.18758293157470485
10,0.2,0.16670788436378758
10,0.2,0.18472389473473216
10,0.2,0.179230115215672
10,0.2,0.22858540655207948
10,0.2,0.24914995110889004
10,0.2,0.19160006622768705
10,0.2,0.19904424321204284
10,0.2,0.19507749896239623
10,0.2,0.2192873691113994
10,0.2,0.21977024217526225
10,0.2,0.19393643102901842
10,0.2,0.17171997189989363
10,0.2,0.18430937428791094
10,0.2,0.2011783334545717
10,0.2,0.16979370169451025
10,0.2,0.19882006171599265
10,0.2,0.2075877329361422
10,0.2,0.2590689531119644
10,0.2,0.19459742291278076
10,0.2,0.3102146600299408
10,0.2,0.19786718436368883
10,0.2,0.19538516211661916
10,0.2,0.35785280417153886
10,0.2,0.18025093061757572
10,0.2,0.16084023631906974
10,0.2,0.18920981250856955
10,0.2,0.17412633636017316
10,0.2,0.21054633412502183
10,0.2,0.203418213707096
10,0.2,0.23977466798147623
10,0.2,0.17703307955255904
10,0.2,0.18874766965054401
10,0.2,0.2653486671404216
10,0.2,0.2228816665783661
10,0.2,0.27488702524486813
10,0.2,0.4453726494631075
10,0.2,0.20362750424262943
10,0.2,0.31581036336190005
10,0.2,0.22714997216375823
10,0.2,0.1890675542262361
10,0.2,0.3487370784544318
10,0.2,0.2409006379570727
10,0.2,0.19215700155114507
10,0.2,0.2005063553636133
10,0.2,0.32843705233664633
10,0.2,0.24129046252440578
10,0.2,0.2526368894004606
10,0.2,0.21034645959571924
10,0.2,0.1728324076408267
10,0.2,0.16171063641740763
10,0.2,0.2004123091546266
10,0.2,0.30994307645345337
10,0.2,0.21820747144770108
10,0.2,0.26080162565072207
10,0.2,0.2216056242887542
10,0.2,0.17920509908713872
10,0.2,0.201311953102127
10,0.2,0.32217885077094677
10,0.2,0.16378714886363738
10,0.2,0.2060014937519992
10,0.2,0.1865136908259753
10,0.2,0.17744557360099253
10,0.2,0.18038428607408943
10,0.2,0.1991743852724463
10,0.2,0.16537940226005188
10,0.2,0.16964616402756
10,0.2,0.15105630137794931
10,0.2,0.2550610144169938
10,0.2,0.16188124603043907
10,0.2,0.4132349005551322
10,0.2,0.19109109427363852
10,0.2,0.17270050312033233
10,0.2,0.16593545248676
10,0.2,0.1787009345288925
10,0.2,0.16959345949216992
10,0.2,0.20152493399144328
10,0.2,0.21475307663152657
10,0.2,0.2080936431054492
10,0.2,0.25779102772678
10,0.2,0.20493653887969987
10,0.2,0.16941097819910544
10,0.2,0.2029949357198211
10,0.2,0.1906497442026994
10,0.2,0.23278057811887048
10,0.2,0.1814771027514132
10,0.2,0.20336648603109697
10,0.2,0.18318189997413414
10,0.2,0.2050879710567869
10,0.2,0.1890638531495269
10,0.4,0.20263489665354634
10,0.4,0.1960693508707746
10,0.4,0.16900235730767343
10,0.4,0.17819413346416318
10,0.4,0.16999936331364174
10,0.4,0.182996351577344
10,0.4,0.1829415897577893
10,0.4,0.18160309306315098
10,0.4,0.21475023456371406
10,0.4,0.21630801713919362
10,0.4,0.22651999770680892
10,0.4,0.26511168542362
10,0.4,0.20466461130339617
10,0.4,0.16018350237772505
10,0.4,0.17967290184978163
10,0.4,0.2654659732608833
10,0.4,0.15963988465679707
10,0.4,0.211379877238366
10,0.4,0.2631047678961944
10,0.4,0.2714281800261588
10,0.4,0.16746700111635154
10,0.4,0.1940426739018542
10,0.4,0.23503590906560376
10,0.4,0.18328858088437489
10,0.4,0.19471171742846582
10,0.4,0.18062860594750865
10,0.4,0.2055577787168856
10,0.4,0.21247777687285246
10,0.4,0.2385042901394208
10,0.4,0.2020500309445345
10,0.4,0.28419002837702756
10,0.4,0.17074916258560627
10,0.4,0.3503466390323056
10,0.4,0.17607687710217867
10,0.4,0.20884903976108582
10,0.4,0.1767038016809906
10,0.4,0.20072371644971446
10,0.4,0.21299515437733796
10,0.4,0.19103125770003904
10,0.4,0.1990387196543827
10,0.4,0.19977104218272362
10,0.4,0.2657659678195158
10,0.4,0.22165761756772961
10,0.4,0.21001155347890305
10,0.4,0.1874327251144932
10,0.4,0.25804570449091857
10,0.4,0.20266386069545295
10,0.4,0.19775726192108672
10,0.4,0.19090056921127735
10,0.4,0.1841084256340167
10,0.4,0.18587582042789008
10,0.4,0.22679663236652267
10,0.4,0.21044750236331394
10,0.4,0.23154309074667667
10,0.4,0.17836627636523533
10,0.4,0.17992134400419585
10,0.4,0.18755249144059244
10,0.4,0.21904023359883934
10,0.4,0.19201893502598544
10,0.4,0.2023505692032429
10,0.4,0.20077198410129027
10,0.4,0.23494160599231512
10,0.4,0.17907793937763863
10,0.4,0.22677299280465296
10,0.4,0.20114206021024517
10,0.4,0.18077765302193083
10,0.4,0.2323079313211309
10,0.4,0.23204446139906054
10,0.4,0.23594415723693235
10,0.4,0.1896733321842695
10,0.4,0.17870746974358231
10,0.4,0.26922373925642645
10,0.4,0.26579861995200105
10,0.4,0.22304901137881253
10,0.4,0.2123789631413818
10,0.4,0.1633620340016358
10,0.4,0.20167163946160566
10,0.4,0.19685547315257865
10,0.4,0.18691269598609453
10,0.4,0.23632317836759942
10,0.4,0.22187478466775307
10,0.4,0.3610639335558553
10,0.4,0.18090821208404154
10,0.4,0.2068017955390659
10,0.4,0.22447088649551433
10,0.4,0.21510583950418938
10,0.4,0.38576619885777524
10,0.4,0.22679788768255751
10,0.4,0.15996329764075146
10,0.4,0.17484351160654013
10,0.4,0.19956456097116132
10,0.4,0.30869958507541584
10,0.4,0.21809259859879931
10,0.4,0.35441593184993014
10,0.4,0.17011768422347753
10,0.4,0.16484865300861717
10,0.4,0.2909038365145834
10,0.4,0.1949341032333169
10,0.4,0.16097721233440232
10,0.4,0.18363580780778943
