track_id,t,x,y
7779,22,564.1580200195312,206.4735565185547
7780,22,446.1621398925781,210.92410278320312
7781,22,143.88681030273438,212.06410217285156
7782,22,641.3377075195312,264.4326171875
7783,22,407.150390625,265.2209777832031
7784,22,338.82684326171875,301.51287841796875
7785,22,574.7328491210938,319.525146484375
7786,22,296.21746826171875,327.6014404296875
7787,22,564.6616821289062,336.793701171875
7788,22,450.3035888671875,338.5135803222656
7789,22,613.507568359375,355.2911682128906
7790,22,495.6330871582031,356.2171936035156
7791,22,766.5117797851562,356.791748046875
7792,22,484.5330505371094,364.3980407714844
7793,22,44.38761520385742,366.7675476074219
7794,22,591.3648071289062,390.76019287109375
7795,22,341.7477722167969,394.9429626464844
7796,22,460.2197570800781,438.5854187011719
7797,22,119.416748046875,455.3377685546875
7798,22,425.39715576171875,467.052978515625
7799,22,142.39688110351562,467.57110595703125
7800,22,132.923583984375,470.0717468261719
7801,22,455.66119384765625,477.3623046875
7802,22,508.1280212402344,480.9909973144531
7803,22,391.72509765625,506.585205078125
7804,22,152.1455078125,513.9915771484375
7805,22,856.0209350585938,532.7042846679688
7806,22,447.2294006347656,553.3803100585938
7807,22,468.83782958984375,563.9610595703125
7808,22,874.796875,570.0965576171875
7809,22,630.46875,572.5044555664062
7810,22,665.3256225585938,577.0250244140625
7811,22,480.3607177734375,581.1307983398438
7812,22,317.1806945800781,591.2142944335938
7813,22,369.58251953125,590.8705444335938
7814,22,888.8236083984375,591.465576171875
7815,22,210.00132751464844,607.6116943359375
7816,22,425.95928955078125,610.5668334960938
7817,22,1051.1497802734375,615.9510498046875
7818,22,917.8660888671875,622.23779296875
7819,22,349.4485778808594,639.1646728515625
7820,22,684.3624877929688,647.7728271484375
7821,22,859.6942749023438,654.5499877929688
7822,22,394.5179748535156,667.015380859375
7823,22,343.4251403808594,693.6325073242188
7824,22,871.8418579101562,704.4244995117188
7825,22,732.6777954101562,712.8274536132812
7826,22,798.15771484375,714.1264038085938
7827,22,857.8160400390625,718.3167724609375
7828,22,525.732421875,772.1593627929688
7829,22,307.6649475097656,779.380615234375
7830,22,393.1796875,788.917236328125
7831,22,427.9361572265625,790.3489990234375
7832,22,787.4674682617188,810.4741821289062
7833,22,461.3323059082031,812.2347412109375
7834,22,807.5025634765625,814.02490234375
7835,22,359.8505554199219,826.3358154296875
7836,22,1011.3325805664062,829.6598510742188
7837,22,458.8285827636719,832.7180786132812
